Execution,clock,current_position_x,current_position_y,target_position_x,target_position_y,move_x,move_y
1,517,360.0,480.0,0,0,0,0
1,534,360.0,480.0,0,0,0,0
1,551,360.0,480.0,0,0,0,0
1,568,360.0,480.0,0,0,0,0
1,585,360.0,480.0,0,0,0,0
1,602,360.0,480.0,0,0,0,0
1,619,360.0,480.0,0,0,0,0
1,636,360.0,480.0,0,0,0,0
1,653,360.0,480.0,0,0,0,0
1,670,360.0,480.0,0,0,0,0
1,687,360.0,480.0,0,0,0,0
1,704,360.0,480.0,0,0,0,0
1,721,360.0,480.0,0,0,0,0
1,738,360.0,480.0,0,0,0,0
1,755,360.0,480.0,0,0,0,0
1,771,360.0,480.0,0,0,0,0
1,788,360.0,480.0,0,0,0,0
1,805,360.0,480.0,0,0,0,0
1,822,360.0,480.0,0,0,0,0
1,839,360.0,480.0,0,0,0,0
1,856,360.0,480.0,0,0,0,0
1,873,360.0,480.0,0,0,0,0
1,890,360.0,480.0,0,0,0,0
1,907,360.0,480.0,0,0,0,0
1,924,360.0,480.0,0,0,0,0
1,941,360.0,480.0,0,0,0,0
1,958,360.0,480.0,0,0,0,0
1,975,360.0,480.0,0,0,0,0
1,992,360.0,480.0,0,0,0,0
1,1009,360.0,480.0,0,0,0,0
1,1026,360.0,480.0,0,0,0,0
1,1044,360.0,480.0,0,0,0,0
1,1061,360.0,480.0,0,0,0,0
1,1078,360.0,480.0,0,0,0,0
1,1095,360.0,480.0,0,0,0,0
1,1112,360.0,480.0,0,0,0,0
1,1129,360.0,480.0,0,0,0,0
1,1146,360.0,480.0,0,0,0,0
1,1163,360.0,480.0,0,0,0,0
1,1180,360.0,480.0,0,0,0,0
1,1197,360.0,480.0,0,0,0,0
1,1214,360.0,480.0,0,0,0,0
1,1231,360.0,480.0,0,0,0,0
1,1248,360.0,480.0,0,0,0,0
1,1265,360.0,480.0,0,0,0,0
1,1282,360.0,480.0,0,0,0,0
1,1299,360.0,480.0,0,0,0,0
1,1316,360.0,480.0,0,0,0,0
1,1333,360.0,480.0,0,0,0,0
1,1359,360.0,475.0,0,0,0,-5
1,1376,360.0,470.0,0,0,0,-5
1,1394,360.0,465.0,0,0,0,-5
1,1411,360.0,460.0,0,0,0,-5
1,1428,360.0,455.0,0,0,0,-5
1,1446,360.0,450.0,0,0,0,-5
1,1463,360.0,445.0,0,0,0,-5
1,1479,360.0,440.0,0,0,0,-5
1,1496,360.0,435.0,0,0,0,-5
1,1513,360.0,435.0,0,0,0,0
1,1530,360.0,435.0,0,0,0,0
1,1548,360.0,435.0,0,0,0,0
1,1565,360.0,435.0,0,0,0,0
1,1582,360.0,435.0,0,0,0,0
1,1599,360.0,435.0,0,0,0,0
1,1616,360.0,435.0,0,0,0,0
1,1633,360.0,435.0,0,0,0,0
1,1650,360.0,435.0,0,0,0,0
1,1668,360.0,435.0,0,0,0,0
1,1684,360.0,435.0,0,0,0,0
1,1701,360.0,435.0,0,0,0,0
1,1718,360.0,435.0,0,0,0,0
1,1735,360.0,435.0,0,0,0,0
1,1752,360.0,435.0,0,0,0,0
1,1768,360.0,435.0,0,0,0,0
1,1785,360.0,435.0,0,0,0,0
1,1802,360.0,435.0,0,0,0,0
1,1819,360.0,435.0,0,0,0,0
1,1836,360.0,435.0,0,0,0,0
1,1854,360.0,435.0,0,0,0,0
1,1871,355.0,435.0,0,0,-5,0
1,1887,350.0,435.0,0,0,-5,0
1,1904,345.0,435.0,0,0,-5,0
1,1922,340.0,435.0,0,0,-5,0
1,1939,335.0,435.0,0,0,-5,0
1,1956,330.0,435.0,0,0,-5,0
1,1973,325.0,435.0,0,0,-5,0
1,1990,320.0,435.0,0,0,-5,0
1,2007,320.0,435.0,0,0,0,0
1,2024,320.0,435.0,0,0,0,0
1,2041,320.0,435.0,0,0,0,0
1,2058,320.0,435.0,0,0,0,0
1,2075,320.0,435.0,0,0,0,0
1,2092,320.0,435.0,0,0,0,0
1,2109,320.0,435.0,0,0,0,0
1,2126,320.0,435.0,0,0,0,0
1,2143,320.0,435.0,0,0,0,0
1,2160,320.0,430.0,0,0,0,-5
1,2177,320.0,425.0,0,0,0,-5
1,2195,320.0,420.0,0,0,0,-5
1,2212,320.0,415.0,0,0,0,-5
1,2229,320.0,410.0,0,0,0,-5
1,2246,320.0,405.0,0,0,0,-5
1,2262,320.0,400.0,0,0,0,-5
